nombre_de_la_empresa,fecha_de_fundacion,numero_de_marcas_registradas,numero_de_patentes_otorgadas,estado_operativo,categoria,antiguedad_de_la_empresa,empleados_en_linkedin,seguidores_en_linkedin,seguidores_en_facebook,seguidores_en_twitter,numero_de_articulos,numero_total_de_fundadores,numero_de_mujeres_fundadores,numero_de_hombres_fundadores,financiacion_total_por_acciones,ultima_financiacion_por_acciones,numero_de_inversiones_en_rondas_de_financiacion,numero_de_inversionistas,numero_de_inversionistas_principales,financiacion_total,numero_de_rondas_de_financiacion,tipo_de_ultima_financiacion,fecha_de_ultima_financiacion,monto_de_ultima_financiacion,años_desde_ultima_financiacion
Simetrik,2018-01-01,0,0,active,Finanzas,7,451.0,30000.0,149.0,0,32,2.0,0,2,114800000.0,30000000.0,0,27,6.0,118800000.0,10,series_b,2025-06-04,30000000.0,0.09863013698630137
Luminate Medical,2018-01-01,0,0,active,Salud,7,48.0,5000.0,0.0,385,17,3.0,1,2,22625000.0,2500000.0,0,16,5.0,22625000.0,5,series_a,2024-12-04,2500000.0,0.5972602739726027
Fuzzbuzz,2018-01-01,0,0,active,Software y Servicios B2B,7,2.0,259.0,0.0,0,0,3.0,1,2,2850000.0,2700000.0,0,10,5.0,2869353.0,3,seed,2019-04-18,2700000.0,6.232876712328767
Alixia,2018-01-01,0,0,active,Salud,7,6.0,234.0,0.0,0,0,2.0,1,1,2325445.0,1825445.0,0,2,1.0,2325445.0,2,seed,2024-07-23,1825445.0,0.9643835616438357
Berbix,2018-01-01,5,2,active,Finanzas,7,4.0,2000.0,0.0,339,21,2.0,0,2,11620000.0,9000000.0,0,8,3.0,11620000.0,3,series_a,2020-08-27,9000000.0,4.8712328767123285
Aviron Interactive,2018-01-01,0,0,active,Salud,7,64.0,4000.0,12000.0,273,7,2.0,1,1,23600000.0,18600000.0,0,13,2.0,23600000.0,4,series_a,2022-02-23,18600000.0,3.378082191780822
OpenReplay,2018-01-01,1,0,active,Software y Servicios B2B,7,111.0,3000.0,0.0,786,2,1.0,0,1,6150000.0,4700000.0,0,17,3.0,6150000.0,4,seed,2022-06-28,4700000.0,3.0356164383561643
Gen1E Lifesciences,2018-01-01,2,14,active,Software y Servicios B2B,7,17.0,863.0,0.0,87,15,2.0,1,1,17025023.0,17025023.0,0,8,1.0,17025023.0,6,series_a,2022-12-21,17025023.0,2.5534246575342467
Datlo,2018-01-01,0,0,active,Software y Servicios B2B,7,68.0,6000.0,0.0,0,0,3.0,2,1,837994.0,4000000.0,0,3,2.0,837994.0,3,seed,2025-05-13,4000000.0,0.1589041095890411
InpharmD,2018-01-01,0,0,active,Software y Servicios B2B,7,39.0,2000.0,827.0,457,3,2.0,1,1,6050000.0,6050000.0,0,11,1.0,6050000.0,3,seed,2023-12-07,6050000.0,1.5917808219178082
GlobeDX,2018-01-01,0,0,active,Finanzas,7,10.0,412.0,0.0,0,3,1.0,0,1,21150000.0,18000000.0,0,10,1.0,21150000.0,5,seed,2021-04-28,18000000.0,4.2027397260273975
Actiondesk,2018-01-01,0,0,active,Software y Servicios B2B,7,1.0,1000.0,195.0,0,6,3.0,0,3,4050000.0,3900000.0,0,9,2.0,4050000.0,3,seed,2022-05-24,3900000.0,3.1315068493150684
Tailor-ED,2018-01-01,0,0,active,Educación,7,6.0,1000.0,1500.0,404,1,2.0,2,0,1750000.0,1600000.0,0,6,2.0,1750000.0,2,seed,2019-10-30,1600000.0,5.698630136986301
91Squarefeet,2018-01-01,0,0,active,Software y Servicios B2B,7,149.0,44000.0,321.0,85,20,5.0,0,5,12000000.0,10000000.0,0,14,4.0,12000000.0,3,series_a,2022-09-09,10000000.0,2.835616438356164
IcePanel,2018-01-01,0,0,active,Software y Servicios B2B,7,6.0,2000.0,90.0,572,0,2.0,0,2,500000.0,500000.0,0,1,1.0,500000.0,1,pre_seed,2023-04-05,500000.0,2.265753424657534
Sapling.ai,2018-01-01,0,0,active,Software y Servicios B2B,7,1.0,438.0,304.0,127,3,1.0,0,1,150000.0,150000.0,0,1,1.0,150000.0,1,pre_seed,2019-03-18,150000.0,6.317808219178082
Neon,2018-01-01,0,0,active,Consumo,7,7.0,225.0,0.0,51,0,2.0,1,1,1150000.0,1000000.0,0,8,1.0,1150000.0,2,pre_seed,2021-03-31,1000000.0,4.279452054794521
WorkClout,2018-01-01,0,0,active,Industria,7,3.0,2000.0,262.0,313,3,3.0,0,3,2450000.0,2300000.0,0,8,2.0,2450000.0,2,seed,2020-04-07,2300000.0,5.260273972602739
Leena AI,2018-01-01,0,0,active,Software y Servicios B2B,7,277.0,131000.0,557.0,329,30,3.0,0,3,40000000.0,30000000.0,0,16,3.0,40000000.0,5,series_b,2021-09-28,30000000.0,3.7835616438356166
Bits,2018-01-01,0,0,active,Finanzas,7,41.0,35000.0,4700.0,0,1,1.0,0,1,257582.0,125000.0,0,1,1.0,257582.0,2,seed,2020-08-25,125000.0,4.876712328767123
Procol,2018-01-01,0,0,active,Software y Servicios B2B,7,168.0,45000.0,284.0,0,7,2.0,0,2,17015536.0,6500000.0,0,22,4.0,17115536.0,5,series_a,2022-09-13,6500000.0,2.824657534246575
Nettrons,2018-01-01,0,0,active,No Especificado,7,1.0,66.0,0.0,0,0,2.0,1,1,150000.0,150000.0,0,1,1.0,150000.0,1,pre_seed,2019-03-18,150000.0,6.317808219178082
Spring in Africa,2018-01-01,0,0,active,Finanzas,7,19.0,6000.0,2000.0,0,3,2.0,0,2,1564500.0,1269500.0,0,25,2.0,1564500.0,3,seed,2020-06-24,1269500.0,5.046575342465753
Glide Apps,2018-01-01,3,0,active,Software y Servicios B2B,7,117.0,19000.0,3300.0,0,1,3.0,0,3,23750000.0,20000000.0,0,9,3.0,23750000.0,4,series_a,2022-04-21,20000000.0,3.221917808219178
