founder_name;company_name;last_funding_type;gender
Shanur Rahman;Open;pre_seed;male
Andrew Dixon;Gander;pre_seed;male
Arjan Guglani;Gander;pre_seed;male
Justin Sun;Scrapybara;pre_seed;male
Nalin Semwal;Scrapybara;pre_seed;male
Andy Lyu;Osmosis AI;pre_seed;male
Kasey Zhang;Osmosis AI;pre_seed;female
Manav Bokinala;vly.ai;seed;male
Victor Cheng;vly.ai;seed;male
Gokhan Egri;Brainbase;pre_seed;male
Daniel Farrell;Onlook;pre_seed;male
Kiet Ho;Onlook;pre_seed;male
Pablo Bermudez-Canete;Paratus Health;pre_seed;male
Tannen Hall;Paratus Health;pre_seed;male
Mark Dawson;Kura;pre_seed;male
Trevor Reed;Kura;pre_seed;male
Kevin Chu;Hestus;seed;male
Sohrab Haghighat;Hestus;seed;male
Arda Goreci;Ligo Biosciences;pre_seed;male
Edward Harris;Ligo Biosciences;pre_seed;male
Emily Egerton Warburton;Ligo Biosciences;pre_seed;female
Aria Mohseni;CrowdVolt;seed;female
Josh Karol;CrowdVolt;seed;male
Max Hammer;CrowdVolt;seed;male
Sean O'Brien;CollectWise;pre_seed;male
Vivek Isukapalli;CollectWise;pre_seed;male
Hashim Rehman;Remo;pre_seed;male
Rabii Malik;Remo;pre_seed;male
Jesse Hu;Abundant;pre_seed;male
Ke Huang;Abundant;pre_seed;male
Meji Abidoye;Abundant;pre_seed;male
Adam Bowen;Tergle;pre_seed;male
William Tarr;Tergle;pre_seed;male
Brett Beatty;Surge;pre_seed;male
Dennis Beatty;Surge;pre_seed;male
Sam Yu;Moreta;pre_seed;male
Walid Mah'd;Moreta;pre_seed;male
Aditya Joshi;Blume Benefits;pre_seed;male
Ethan Hou;Blume Benefits;pre_seed;male
Varun Verma;Blume Benefits;pre_seed;male
Anthony Humay;Raycaster;pre_seed;male
Levi Lian;Raycaster;pre_seed;male
Ben Collins;Woz;pre_seed;male
Brad Eckert;Woz;pre_seed;male
Hai Dang;Mercura;pre_seed;male
Lukas Bock;Mercura;pre_seed;male
Stefan Zheng;Mercura;pre_seed;male
Berni Hausleitner;Soff;pre_seed;female
Raban von Spiegel;Soff;pre_seed;male
August Chen;Hazel;pre_seed;male
Elton Lossner;Hazel;pre_seed;male
Akshay Chalana;Saphira AI;pre_seed;male
Oscar Avatare;Saphira AI;pre_seed;male
