company_name,link_company,equity_funding_total,num_articles,last_equity_funding_total,num_investments_funding_rounds,founded_on,ipqwery_num_trademark_registered,ipqwery_num_patent_granted,num_investors,operating_status,num_lead_investors,num_employees_enum,funding_total,num_funding_rounds,last_funding_type,last_funding_at,last_funding_total,num_founders,linkedin,facebook,twitter,founders,categories
AI Insurance,https://www.crunchbase.com/organization/ai-insurance,4950000.0,3.0,3800000.0,,2018-10-01,4.0,0.0,5,active,2.0,c_00011_00050,4950000.0,3,seed,2022-03-01,3800000.0,1.0,https://www.linkedin.com/company/a-i-insurance-inc/,,,Cameron MacArthur,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software"
HyperTrader,https://www.crunchbase.com/organization/hyperlinq,1550000.0,46.0,1425000.0,,2018-09-24,,,9,active,1.0,c_00001_00010,1550000.0,3,seed,2021-09-05,1425000.0,3.0,https://www.linkedin.com/company/hypertrader,,https://twitter.com/HyperTraderApp,"Amar Gautam, Karamvir Singh, Kunal Kumar","Blockchain and Cryptocurrency, Financial Services, Lending and Investments, Payments, Software"
Valiu,https://www.crunchbase.com/organization/valiu,6477000.0,9.0,5250000.0,,2018-09-17,,,10,closed,3.0,c_00011_00050,6477000.0,2,seed,2020-12-04,5250000.0,3.0,https://www.linkedin.com/company/valiu/,https://www.facebook.com/pg/Valiu-688594454866755/about/,https://twitter.com/valiuco,"Alberto Niego, Omar David Barinas Orjuela, Simon Chamorro","Blockchain and Cryptocurrency, Financial Services, Payments, Software"
Qwest (YC W19),https://www.crunchbase.com/organization/qwst,150000.0,,150000.0,,2018-09-15,,,1,active,1.0,c_00001_00010,150000.0,1,pre_seed,2019-03-18,150000.0,2.0,,,,"Andre Woodley Jr, Brandon R. Stokes","Events, Internet Services, Media and Entertainment, Mobile"
Klir,https://www.crunchbase.com/organization/klir-09a0,19622232.0,6.0,16000000.0,,2018-09-01,,,5,active,2.0,c_00051_00100,19622232.0,4,series_a,2021-11-18,16000000.0,2.0,https://www.linkedin.com/company/klir,https://www.facebook.com/pg/klirteam/,https://twitter.com/KlirTeam,"David Lynch, Elaine Kelly","Natural Resources, Software"
Houm,https://www.crunchbase.com/organization/houm-group-inc,44700000.0,7.0,35000000.0,,2018-09-01,,,18,active,3.0,c_00501_01000,44700000.0,4,series_a,2021-11-11,35000000.0,3.0,https://www.linkedin.com/company/houm-com/about/,,https://twitter.com/houmlatam,"Benjamin Labra, Camilo Marroquín, Nicolas Knockaert","Financial Services, Real Estate, Software"
Akute Health,https://www.crunchbase.com/organization/akute-health,1457500.0,3.0,505000.0,,2018-08-30,,,8,active,2.0,c_00001_00010,1457500.0,4,seed,2023-01-06,505000.0,1.0,https://www.linkedin.com/company/akute-health,https://www.facebook.com/AkuteHealth,https://twitter.com/AkuteHealth,Sharud Agarwal,"Health Care, Information Technology, Software"
Recurrency,https://www.crunchbase.com/organization/recurrency-ai,22125000.0,1.0,22000000.0,,2018-08-06,1.0,0.0,9,active,2.0,c_00051_00100,22125000.0,3,series_a,2023-02-01,22000000.0,1.0,https://www.linkedin.com/company/recurrency,https://www.facebook.com/recurrency,https://twitter.com/recurrency,Sam Oshay,"Commerce and Shopping, Other, Software"
Fondeadora,https://www.crunchbase.com/organization/fondeadora,32150000.0,22.0,14000000.0,,2018-08-02,,,16,active,3.0,c_00051_00100,32150000.0,5,series_a,2021-03-15,14000000.0,3.0,http://www.linkedin.com/company/fondeadora,http://www.facebook.com/FondeadoraMx,http://twitter.com/Fondeadora,"Gus Alvarez Moreno, Norman Muller, Rene Serrano","Financial Services, Internet Services, Lending and Investments, Other, Payments"
Intersect Labs,https://www.crunchbase.com/organization/intersect-labs,150000.0,1.0,150000.0,,2018-08-01,,,2,active,1.0,c_00001_00010,150000.0,1,pre_seed,2019-08-19,150000.0,2.0,https://www.linkedin.com/company/intersect-labs-io/,https://www.facebook.com/Intersect-Labs-190441321857054/,https://twitter.com/intersectlabsio,"Ankit Gordhandas, FNU LNU","Artificial Intelligence (AI), Data and Analytics, Design, Information Technology, Software"
Stark Bank,https://www.crunchbase.com/organization/starkbank,59956555.0,21.0,45000000.0,,2018-07-26,8.0,0.0,20,active,6.0,c_00051_00100,59956555.0,5,series_b,2022-04-11,45000000.0,1.0,https://www.linkedin.com/company/starkbank,https://www.facebook.com/starkbank,https://twitter.com/starkbank,Rafael Stark,"Financial Services, Lending and Investments, Payments"
Okteto,https://www.crunchbase.com/organization/okteto,18081247.0,5.0,15000000.0,,2018-07-01,2.0,0.0,12,active,4.0,c_00011_00050,18081247.0,3,series_a,2022-01-27,15000000.0,3.0,https://www.linkedin.com/company/okteto,,https://twitter.com/oktetohq,"Pablo Chico de Guzman, Ramiro Berrelleza, Ramon Lamana","Apps, Internet Services, Mobile, Software"
