company_name;link_company;linkedin;linkedin_employees;linkedin_followers;facebook;facebook_followers;selected
Fair Square Medicare;https://www.crunchbase.com/organization/fair-square-medicare;;0;0;https://www.facebook.com/Fair-Square-Medicare-101215091620166/;246;0
Nomod;https://www.crunchbase.com/organization/nomod;https://www.linkedin.com/company/nomod/;34;2000;;0;1
Polytomic;https://www.crunchbase.com/organization/polytomic;https://www.linkedin.com/company/polytomic/;8;543;;0;1
Ardis AI;https://www.crunchbase.com/organization/ardis-ai;https://www.linkedin.com/company/ardis-ai/;;;;0;0
Synapsica;https://www.crunchbase.com/organization/synapsica;https://www.linkedin.com/company/synapsica/;22;4000;https://www.facebook.com/SynapsicaAI/;787;1
Roboflow;https://www.crunchbase.com/organization/roboflow;https://www.linkedin.com/company/roboflow-ai/;87;45000;;0;1
Kurios;https://www.crunchbase.com/organization/kurios-technologies;https://www.linkedin.com/school/kurios-la;50;14000;https://www.facebook.com/kurios.la;1000;1
Altay Therapeutics;https://www.crunchbase.com/organization/altay-therapeutics;;0;0;;0;0
GoBuild (fka Brick);https://www.crunchbase.com/organization/brick;https://www.linkedin.com/company/gobuild-construction/;2;424;;0;1
Shef;https://www.crunchbase.com/organization/shef;https://www.linkedin.com/company/ordershef;377;7000;https://www.facebook.com/ordershef;20000;1
Insight Browser;https://www.crunchbase.com/organization/lumos-6f11;;0;0;;0;0
Zeit Medical;https://www.crunchbase.com/organization/zeit-medical;https://www.linkedin.com/company/zeitmedical;6;1000;https://www.facebook.com/zeitmed;358;1
Million Marker;https://www.crunchbase.com/organization/million-marker;https://www.linkedin.com/company/million-marker/;18;871;;0;1
NextPay;https://www.crunchbase.com/organization/nextpay-3f8a;https://www.linkedin.com/company/nextpayph/about/;33;3000;;0;1
SubscriptionFlow;https://www.crunchbase.com/organization/subscriptionflow;https://www.linkedin.com/company/subscription-flow;31;2000;https://www.facebook.com/SubscriptionFlow;88;1
Alude;https://www.crunchbase.com/organization/alude;https://www.linkedin.com/company/aludealugueldescomplicado/;31;8000;;0;1
ContaLink;https://www.crunchbase.com/organization/contalink;https://www.linkedin.com/company/contalink/about/;57;4000;https://www.facebook.com/contalink/;15000;1
Artifact_2;https://www.crunchbase.com/organization/artifact-191c;https://www.linkedin.com/company/heyartifact/;14;698;https://www.facebook.com/artifactpersonalpodcasts;15000;1
Mable (Neurolytic Healthcare);https://www.crunchbase.com/organization/neurolytic-healthcare;https://www.linkedin.com/company/mable-health/;2;904;https://m.facebook.com/mablehealth/;89;1
Able Jobs;https://www.crunchbase.com/organization/able-jobs;https://www.linkedin.com/company/ablejobs/;67;54000;;0;1
Prospa;https://www.crunchbase.com/organization/prospa-60e4;https://www.linkedin.com/company/prospabank/;57;10000;https://www.facebook.com/getprospa;5300;1
Nestybox;https://www.crunchbase.com/organization/nestybox;https://www.linkedin.com/company/nestybox;2;193;;0;1
Pylons;https://www.crunchbase.com/organization/pylons;https://www.linkedin.com/company/pylons/;4;862;;0;1
Modern Village;https://www.crunchbase.com/organization/modern-village;;0;0;;0;0
taxProper;https://www.crunchbase.com/organization/taxproper;https://www.linkedin.com/company/taxproper/;5;220;https://www.facebook.com/taxProper/;197;1
Slapdash;https://www.crunchbase.com/organization/slapdash-app;https://www.linkedin.com/company/slapdashapp;7;217;;0;1
Nomad Rides;https://www.crunchbase.com/organization/nomad-7453;https://www.linkedin.com/company/nomadrides;4;1000;https://www.facebook.com/nomadRides1150;227;1
Farm Theory;https://www.crunchbase.com/organization/farm-theory;https://www.linkedin.com/company/farmtheory/;26;3000;;0;1
Fancy;https://www.crunchbase.com/organization/fancy-9775;https://www.linkedin.com/company/fancy-app/;;;https://www.facebook.com/fancysnacksapp;;0
Encuadrado;https://www.crunchbase.com/organization/encuadrado;https://www.linkedin.com/company/encuadrado;107;9000;https://www.facebook.com/soyencuadrado;1400;1
Kitchenful;https://www.crunchbase.com/organization/kitchenful;https://www.linkedin.com/company/kitchenful;9;619;https://www.facebook.com/kitchenful;265;1
Hoss;https://www.crunchbase.com/organization/hoss-7a2e;https://www.linkedin.com/company/hossapp/;6;335;;0;1
Rinsed;https://www.crunchbase.com/organization/rinsed-55f5;https://www.linkedin.com/company/rinsed;108;12000;;0;1
Preclusio;https://www.crunchbase.com/organization/preclusio;https://www.linkedin.com/company/preclusio/;2;61;;0;1
Omni;https://www.crunchbase.com/organization/omni-5e86;https://www.linkedin.com/company/addomni/;2;211;;0;1
Adyn;https://www.crunchbase.com/organization/adyn;https://www.linkedin.com/company/adyn/;9;2000;https://www.facebook.com/adynhealth;260;1
Cuboh;https://www.crunchbase.com/organization/cuboh;https://www.linkedin.com/company/getcuboh/;14;2000;https://www.facebook.com/pg/getcuboh/;223;1
Revolve Surgical;https://www.crunchbase.com/organization/revolve-surgical-inc;https://www.linkedin.com/company/revolve-surgical;8;1000;;0;1
Nara;https://www.crunchbase.com/organization/nara-8b6e;https://www.linkedin.com/company/naraai;2;659;;0;1
Orderli;https://www.crunchbase.com/organization/orderli;https://www.linkedin.com/company/orderli;8;1000;https://www.facebook.com/Orderli.nl;151;1
HireSure;https://www.crunchbase.com/organization/hiresure;https://www.linkedin.com/company/hiresure/;33;11000;;0;1
Sytex;https://www.crunchbase.com/organization/sytex;https://www.linkedin.com/company/sytexpm;26;3000;https://www.facebook.com/Sytexio-339786256719204;286;1
