company_name,link_company,equity_funding_total,num_articles,last_equity_funding_total,num_investments_funding_rounds,founded_on,ipqwery_num_trademark_registered,ipqwery_num_patent_granted,num_investors,operating_status,num_lead_investors,num_employees_enum,funding_total,num_funding_rounds,last_funding_type,last_funding_at,last_funding_total,num_founders,linkedin,linkedin_employees,linkedin_followers,facebook,facebook_followers,num_female_founders,num_male_founders,has_linkedin,has_facebook,has_twitter,twitter_followers,category,company_age
Bot Orange,https://www.crunchbase.com/organization/bot-orange,150000.0,0,150000.0,0,2015-01-01,0,0,3,active,1.0,c_00001_00010,150000.0,1,seed,2019-03-18,150000.0,2.0,https://www.linkedin.com/company/bot-orange/,,,,0,0,2,1,0,0,0,Software y Servicios B2B,10
Monthli,https://www.crunchbase.com/organization/monthli,120000.0,0,120000.0,0,2015-01-01,0,0,1,active,1.0,c_00001_00010,120000.0,1,pre_seed,2016-03-22,120000.0,3.0,https://www.linkedin.com/company/monthli/?originalSubdomain=in,,,,0,0,3,1,0,0,0,Bienes Raíces y Construcción,10
Supr Daily,https://www.crunchbase.com/organization/supr-daily,1941993.0,23,1470230.0,0,2015-01-01,0,0,22,active,1.0,c_00501_01000,1941993.0,5,seed,2017-05-30,1470230.0,3.0,https://www.linkedin.com/company/suprdaily/,,,https://www.facebook.com/suprdaily/,,0,3,1,1,0,0,Consumo,10
Appcanary,https://www.crunchbase.com/organization/appcanary,120000.0,1,120000.0,0,2015-01-01,0,0,2,active,1.0,c_00001_00010,120000.0,1,seed,2015-08-18,120000.0,2.0,https://www.linkedin.com/company/appcanary,,,,0,0,2,1,0,1,160,Software y Servicios B2B,10
X-ZELL,https://www.crunchbase.com/organization/x-zell,5560000.0,92,4000000.0,0,2014-12-01,0,4,13,active,4.0,c_00011_00050,5560000.0,4,seed,2018-05-01,4000000.0,1.0,https://www.linkedin.com/company/xzell,,,,0,0,1,1,0,1,188,Salud,10
Nexu,https://www.crunchbase.com/organization/nexu,73000000.0,1,20000000.0,0,2014-11-01,0,0,21,active,1.0,c_00101_00250,73000000.0,7,series_b,2023-10-17,20000000.0,3.0,https://www.linkedin.com/company/nexu-mx,,,https://www.facebook.com/nexumx,,0,3,1,1,0,0,Finanzas,10
TetraScience,https://www.crunchbase.com/organization/tetrascience-inc-,99120000.0,42,80000000.0,0,2014-10-21,1,1,16,active,5.0,c_00101_00250,99145000.0,9,series_b,2021-04-15,80000000.0,3.0,https://www.linkedin.com/company/tetrascience,,,https://facebook.com/tetrascienceinc,,1,2,1,1,1,975,Software y Servicios B2B,10
Meter Feeder,https://www.crunchbase.com/organization/meterfeeder,3856000.0,14,2600000.0,0,2014-10-13,1,2,18,active,3.0,c_00001_00010,4106000.0,9,seed,2022-04-19,2600000.0,2.0,https://www.linkedin.com/company/meter-feeder-inc,,,https://www.facebook.com/meterfeeder.inc,,0,2,1,1,1,817,Bienes Raíces y Construcción,10
PAKIBLE,https://www.crunchbase.com/organization/pakible,1620000.0,5,1500000.0,0,2014-10-01,0,0,10,active,1.0,c_00001_00010,1620000.0,2,seed,2016-01-01,1500000.0,2.0,https://www.linkedin.com/company/pakible,,,https://www.facebook.com/GetPakible,,0,2,1,1,1,0,Industria,10
CareSkore,https://www.crunchbase.com/organization/careskore,4420000.0,12,4300000.0,0,2014-09-07,0,0,9,active,1.0,c_00011_00050,4420000.0,2,seed,2016-08-09,4300000.0,2.0,https://www.linkedin.com/company/care-skore,,,https://www.facebook.com/careskore,,0,2,1,1,1,322,Software y Servicios B2B,10
