company_name;num_female_founders;num_male_founders
Fella Health;0;3
Fello;0;2
Female Invest;3;0
Fern;0;3
Feroot Security;0;2
Ferveret;0;2
Fetch;0;2
Fetii;0;2
Fiber AI;0;2
Fibo;0;4
Ficra;0;2
Fieldguide;0;2
Fieldproxy;0;2
FifthTry;0;1
Fig;0;2
Fiix;0;2
Filadd;0;1
Fileforge;0;3
Filta;0;1
FinFlx;0;2
Final;0;4
Finary;0;4
Finbar;0;2
Findly (YC S22);0;3
Finex;0;2
Fini;0;1
Finku;1;2
Finley Technologies;0;3
Finmark;0;3
Finni Health;0;2
Finnix;0;3
Finnt;1;1
Finosu;0;2
Finta;0;1
Fintoc;0;2
Fintool.com;0;2
Finvest;0;2
Fira;0;2
Firebender;0;2
Firezone;0;2
FirstIgnite;0;2
FirstSupport;0;1
FirstWork;0;2
Firsthand;0;2
Fit to Form;2;0
FitHub;1;3
Fitia;0;2
FitnessAI;0;1
Fix AI;0;2
Fizz;0;3
Flagright;0;2
Flair Health;2;0
Flair Labs;1;1
Fleek;0;2
FleetWorks Technology;0;2
Fleetzero;0;2
Flex;0;1
Flex Productions;0;1
FlexDesk;1;1
FlexWash Technologies;0;2
Flextock;1;1
Flightcontrol;1;1
Flike;0;2
Flint;0;2
Flinto;0;2
Flip;0;1
Flo Recruit;1;1
Float;0;2
Float Health;2;1
Flockjay;0;1
Flocknet;0;1
Flow.Club;0;2
FlowDeploy;0;1
FlowEQ;2;3
Flowbo;0;2
Flowbot;0;2
Flowdash;0;2
Flower Labs;0;3
FlowiseAI;0;2
Floworks AI;0;2
Flowspace;0;2
FloydHub;0;2
Fluently;0;2
Fluid Markets;0;3
FlutterFlow;0;2
Flux;0;3
Flux Auto;0;2
Flux QR;0;2
FlyCode;0;3
Flyflow;1;0
Focal Systems;0;2
Focal_1;1;1
Focal_2;0;2
Focus Buddy;0;2
Fogbender;0;1
Fondeadora;0;3
Fondo;0;1
FoodCourt;0;2
Forage;0;2
Forerunner;0;2
Foreword;1;1
Forfeit;0;2
Forge;0;2
Forge Automation;0;2
Forge Rewards;0;2
Formal;0;1
Formance;1;1
Formula Insight;0;2
Fortress;0;2
Fortuna Health;1;2
Foster;0;2
Foundation;0;3
Foundry;0;2
Four Growers;0;2
Fractional;1;1
Fragment;0;2
Freestyle;0;2
Frekil;0;2
Fresco;0;2
Fresh Factory;0;3
Freshpaint;0;2
Freterium;0;2
Friday;0;2
FriendSpot;0;2
Frigade;0;2
Friz;1;1
FrontPage;1;3
Fuell;0;2
Fume;0;2
FunctionUp;0;2
Furmacy;1;1
FurtherAI;0;2
Fuse;0;2
FuseAI;1;1
Future Fields;1;2
FutureClinic;0;4
Fuzzbuzz;1;2
G LNK;0;2
GIGI Benefits;2;0
GIMO;0;1
