company_name,equity_funding_total,num_articles,last_equity_funding_total,num_investments_funding_rounds,founded_on,ipqwery_num_trademark_registered,ipqwery_num_patent_granted,num_investors,operating_status,num_lead_investors,num_employees_enum,funding_total,num_funding_rounds,last_funding_type,last_funding_at,last_funding_total,num_founders,linkedin,facebook,twitter,founders,categories
ion design,500000.0,,500000.0,,2023-01-01,,,2,active,1.0,c_00001_00010,500000.0,1,pre_seed,2024-04-03,500000.0,2.0,https://www.linkedin.com/company/ion-dot-design,,https://twitter.com/iondotdesign,"Samraaj Singh Bath, Samuel Barnholdt","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Menza,500000.0,,500000.0,,2023-01-01,,,1,active,1.0,c_00001_00010,500000.0,1,pre_seed,2023-09-06,500000.0,2.0,https://www.linkedin.com/company/menzaai/,,https://x.com/MenzaAI,"Mariam Ahmed, Qasim Munye","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
CloudCruise,500000.0,,500000.0,,2023-01-01,,,1,active,1.0,c_00001_00010,500000.0,1,pre_seed,2024-04-03,500000.0,3.0,https://www.linkedin.com/company/cloudcruise/,,https://twitter.com/cloudcruise_app,"Adrian Ziegler, Felix Eckert, Vere Whittome","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Kite,500000.0,5.0,500000.0,,2023-01-01,,,1,active,1.0,c_00001_00010,500000.0,1,pre_seed,2023-09-06,500000.0,2.0,https://www.linkedin.com/company/kitevideo/,,https://x.com/kitevideohq,"Derek Feehrer, Todd Ashley","Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Sales and Marketing, Science and Engineering, Software, Video"
Elayne,500000.0,,500000.0,,2023-01-01,,,1,active,1.0,c_00011_00050,500000.0,1,pre_seed,2024-09-25,500000.0,2.0,https://www.linkedin.com/company/meetelayne/,,,"Adria Ferrier, Jake (Graf) Grafenstein","Administrative Services, Health Care, Professional Services"
Coldreach,500000.0,,500000.0,,2023-01-01,,,2,active,1.0,c_00001_00010,500000.0,1,pre_seed,2023-04-05,500000.0,2.0,https://www.linkedin.com/company/coldreach,,,"Hankel BAO, Xiaohan Shen","Information Technology, Internet Services, Messaging and Telecommunications"
Atopile,500000.0,,500000.0,,2023-01-01,,,4,active,1.0,c_00001_00010,500000.0,1,pre_seed,2024-04-03,500000.0,3.0,https://www.linkedin.com/company/atopile,,https://twitter.com/atopile_io,"Matthew Wildoer, Narayan Powderly, Timothée Peter","Consumer Electronics, Hardware, Information Technology, Manufacturing"
Glade,500000.0,5.0,500000.0,,2023-01-01,,,1,active,1.0,c_00001_00010,500000.0,1,pre_seed,2023-09-06,500000.0,2.0,https://www.linkedin.com/company/gladetool/,,,"Aaron Lee, Daniel Fang","Gaming, Software"
Fume,500000.0,3.0,500000.0,,2023-01-01,,,2,active,1.0,c_00001_00010,500000.0,1,pre_seed,2024-01-25,500000.0,2.0,https://www.linkedin.com/company/fumetech,,,"Emre Gucer, Metehan Oz","Artificial Intelligence (AI), Data and Analytics, Education, Science and Engineering, Software"
Sonauto,500000.0,,500000.0,,2023-01-01,,,2,active,1.0,c_00001_00010,500000.0,1,pre_seed,2024-02-27,500000.0,2.0,https://www.linkedin.com/company/sonautoai/about,,https://twitter.com/SonautoAI,"Hayden Housen, Ryan Tremblay",Software
Abel,500000.0,1.0,500000.0,,2023-01-01,,,1,active,1.0,c_00001_00010,500000.0,1,pre_seed,2024-02-27,500000.0,2.0,https://www.linkedin.com/company/tryabel/,,https://twitter.com/abelforlaw,"Chenyu Li, Sean Safahi","Information Technology, Internet Services, Other, Professional Services, Software"
CodeStory,500000.0,,500000.0,,2023-01-01,,,2,active,1.0,c_00001_00010,500000.0,1,pre_seed,2023-09-06,500000.0,2.0,https://www.linkedin.com/company/codestory-ai/,,https://twitter.com/codestoryai,"Naresh Ramesh, Sandeep Pani","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software"
Inri,500000.0,1.0,500000.0,,2023-01-01,,,1,active,1.0,c_00001_00010,500000.0,1,pre_seed,2023-04-05,500000.0,3.0,https://www.linkedin.com/company/goinri,,https://twitter.com/go_inri,"Hemant Gangolia, Nishad Shah, Raghav Choudhary",Financial Services
Inari,500000.0,,500000.0,,2023-01-01,,,1,active,1.0,c_00001_00010,500000.0,1,pre_seed,2023-09-06,500000.0,2.0,https://www.linkedin.com/company/98071724/,,https://twitter.com/useinari,"Eric Kim, Frank Lee","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software"
Kiosk,500000.0,1.0,500000.0,,2023-01-01,,,3,active,1.0,c_00001_00010,500000.0,1,pre_seed,2024-04-03,500000.0,2.0,https://www.linkedin.com/company/getkiosk/,,,"Paul Lafforgue, Thomas Sohet","Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Messaging and Telecommunications, Sales and Marketing, Science and Engineering, Software"
Carousel Technologies,500000.0,,500000.0,,2023-01-01,,,2,active,1.0,c_00001_00010,500000.0,1,pre_seed,2024-04-03,500000.0,2.0,https://www.linkedin.com/company/carousel-tech,,,"Daniel Wolf, Jude Rizzo","Financial Services, Other, Software"
Alai,500000.0,,500000.0,,2023-01-01,,,1,active,1.0,c_00001_00010,500000.0,1,pre_seed,2024-02-27,500000.0,2.0,https://www.linkedin.com/company/getalai ,,https://twitter.com/getalai,"Anmol Sood, Krishna Gupta","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Praxos,500000.0,,500000.0,,2023-01-01,,,1,active,1.0,c_00001_00010,500000.0,1,pre_seed,2024-09-25,500000.0,2.0,https://www.linkedin.com/company/praxos-intelligence,,,"Lucas Urbisaia, Soheil Sadabadi","Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software"
